uid	settingid	tid	l	ratio
2013012645	2	14	7542.0	0.690697674419
2016011284	4	7	7575.0	0.689534883721
2014080121	2	18	7589.21313	0.688372093023
2016011257	1	20	7598.27637	0.687209302326
2015010889	3	16	7616.0	0.686046511628
2014010588	2	3	7621.2529	0.68488372093
2016310173	2	7	7643.0	0.683720930233
2016211313	1	16	7644.4192	0.682558139535
2016310173	2	8	7665.0	0.681395348837
2016011373	1	12	7673.0	0.68023255814
2015311241	2	4	7678.0	0.679069767442
2016011392	3	10	7702.3179	0.677906976744
2014080129	2	15	7739.54956	0.676744186047
2016011304	1	17	7740.0	0.675581395349
2016011286	2	11	7772.0	0.674418604651
2013010932	1	6	7786.4161	0.673255813953
2014012280	3	13	7794.0586	0.672093023256
2016011304	1	20	7803.0	0.670930232558
2014011525	3	9	7803.272	0.66976744186
2016011284	4	14	7836.0	0.668604651163
2016310173	2	1	7838.0	0.667441860465
2016011317	1	12	7861.81574	0.666279069767
2015210462	3	19	7898.55896	0.66511627907
2016050024	3	20	7918.80887	0.663953488372
2016011392	3	19	7950.5129	0.662790697674
2016210747	2	14	7952.0	0.661627906977
2016050024	3	12	7959.0	0.660465116279
2016011317	1	2	8014.10379	0.659302325581
2013011361	1	6	8016.15375	0.658139534884
2014080102	3	15	8018.0	0.656976744186
2014210115	2	17	8020.0	0.655813953488
2014012280	3	9	8053.50116	0.654651162791
2014080118	3	2	8053.60733	0.653488372093
2013011361	1	15	8066.0	0.652325581395
2016011373	1	15	8086.63077	0.651162790698
2016011284	4	13	8105.0	0.65
2016011396	4	14	8111.40816	0.648837209302
2014011525	3	19	8118.4559	0.647674418605
2016210747	2	15	8120.0	0.646511627907
2014010588	2	20	8124.0	0.645348837209
2013012048	4	9	8135.0	0.644186046512
2014012023	1	13	8140.0	0.643023255814
2016011311	4	9	8199.0	0.641860465116
2014010012	1	18	8210.0	0.640697674419
2016011257	1	18	8219.0	0.639534883721
2013012056	4	20	8242.0	0.638372093023
2016011396	4	10	8272.73615	0.637209302326
