dumb	AP	AP@0003	AP@0005	ERP	ERR	Hit@0003	Hit@0005	MSnDCG@0003	MSnDCG@0005	NCUgu,BR	NCUgu,P	NCUrb,BR	NCUrb,P	Nor-lwfv-exp-binom	Nor-lwfv-exp-step	Nor-lwfv-raw-binom	Nor-lwfv-raw-step	Nor-lwofv-exp-binom	Nor-lwofv-exp-step	Nor-lwofv-raw-binom	Nor-lwofv-raw-step	Nor-nDCG-exp-binom	Nor-nDCG-exp-step	Nor-nDCG-raw-binom	Nor-nDCG-raw-step	Nor-tbg-exp-binom	Nor-tbg-exp-step	Nor-tbg-raw-binom	Nor-tbg-raw-step	O-measure	P-measure	P-plus	P@0003	P@0005	Q-measure	Q@0003	Q@0005	RBP	RR	nDCG@0003	nDCG@0005	nERR@0003	nERR@0005	npbg_hcs_modi	npbg_tbg_modi	pbg_hcs_modi	pbg_tbg_modi
Nor-lwofv-raw-step																					1.0	0.76492408525	0.786666666667	0.811590751917	0.82	0.74	0.733333333333	0.8	0.813333333333	0.578779973706	0.602626464531	0.585901260177	0.668733588436	0.630221517584	0.754684817433	0.721701297212	0.754684817433	0.783075480852	0.640395420315	0.707389299984	0.793566132759	0.660307092229	0.683730366283	0.39698481705	0.470318150383	0.577621117817	0.584287784483
Nor-nDCG-exp-binom																						1.0	0.978257418584	0.833333333333	0.82492408525	0.731590751917	0.738257418584	0.76492408525	0.751590751917	0.621591730097	0.644748169129	0.628022964774	0.465072173052	0.53173948998	0.762586547115	0.658490643315	0.762586547115	0.852249812067	0.53563886014	0.657383288616	0.828378046218	0.669019368196	0.746238030832	0.418727398467	0.467302967433	0.609211869734	0.6158785364
Nor-nDCG-exp-step																							1.0	0.82492408525	0.833333333333	0.753333333333	0.76	0.786666666667	0.773333333333	0.632833841831	0.655422487183	0.638697282829	0.465072173052	0.53173948998	0.767510632365	0.664164506598	0.767510632365	0.857173897317	0.53563886014	0.663457951547	0.833694915124	0.674693231479	0.751162116082	0.423651483717	0.470318150383	0.59095445115	0.61095445115
Nor-nDCG-raw-binom																								1.0	0.991590751917	0.618257418584	0.611590751917	0.678257418584	0.678257418584	0.472025531561	0.503241716021	0.486516511666	0.647318358336	0.672389852169	0.794302275867	0.655730132534	0.794302275867	0.864601841586	0.588017140227	0.676329514093	0.839457474204	0.594985214047	0.656044857284	0.505394065133	0.567302967433	0.6158785364	0.609211869734
Nor-nDCG-raw-step																									1.0	0.626666666667	0.62	0.686666666667	0.686666666667	0.469798942702	0.500821464053	0.484096259699	0.647318358336	0.672389852169	0.792559694451	0.653951988231	0.792559694451	0.86285926017	0.588017140227	0.674952169439	0.838107676443	0.593207069744	0.654302275867	0.510318150383	0.570318150383	0.61095445115	0.617621117817
Nor-tbg-exp-binom																										1.0	0.993333333333	0.9	0.873333333333	0.724078856015	0.779581316943	0.762856112588	0.328963624271	0.376822287672	0.606109248467	0.637119454238	0.606109248467	0.615136212652	0.692773700403	0.596245859153	0.619596498659	0.676157636466	0.709760732183	0.270318150383	0.31698481705	0.437621117817	0.444287784483
Nor-tbg-exp-step																											1.0	0.893333333333	0.866666666667	0.724078856015	0.779581316943	0.762856112588	0.328963624271	0.376822287672	0.612775915133	0.637119454238	0.612775915133	0.622439180085	0.692773700403	0.596245859153	0.626263165325	0.676157636466	0.71642739885	0.263651483717	0.310318150383	0.43095445115	0.437621117817
Nor-tbg-raw-binom																												1.0	0.973333333333	0.734511666634	0.740297606877	0.742090921041	0.490797395032	0.446038649789	0.680078882567	0.722999870205	0.680078882567	0.661802879318	0.745151980491	0.667871546447	0.666263165325	0.761388765937	0.75642739885	0.303651483717	0.363651483717	0.497621117817	0.504287784483
Nor-tbg-raw-step																													1.0	0.734511666634	0.740297606877	0.742090921041	0.550882458238	0.463498076485	0.70738185	0.751509327552	0.70738185	0.662439180085	0.745151980491	0.696381003794	0.680232799426	0.789898223284	0.783730366283	0.31698481705	0.390318150383	0.524287784483	0.53095445115
O-measure																														1.0	0.945119644814	0.950755256245	0.309943775983	0.202816909152	0.604899923716	0.672774265822	0.604899923716	0.540682894593	0.905636367852	0.535045388517	0.532577613538	0.814983272638	0.80325414018	0.177939647484	0.239869759283	0.429761883624	0.429761883624
P-measure																															1.0	0.987808162713	0.254638924144	0.171387259296	0.612139132189	0.665446136456	0.612139132189	0.571901207122	0.863411669003	0.539122080667	0.564658284361	0.786790125566	0.803550769305	0.146711855495	0.224813267126	0.425262513145	0.42614626421
P-plus																																1.0	0.254638924144	0.171387259296	0.613932446353	0.668123201685	0.613932446353	0.555176002768	0.863411669003	0.541799145896	0.547933080006	0.79961020112	0.796968575275	0.12998665114	0.208088062772	0.419877539082	0.439279808665
P@0003																																	1.0	0.795490070679	0.747476747124	0.788978446489	0.747476747124	0.550034310012	0.766460216075	0.735014108064	0.60139740472	0.563300791065	0.512429308018	0.600177906257	0.64200555088	0.525157236259	0.525157236259
P@0005																																		1.0	0.719699139276	0.602035032845	0.719699139276	0.578505005154	0.626267109867	0.555577218046	0.600688608567	0.430015013747	0.44023970004	0.724768132257	0.739888439311	0.558044691158	0.529400370338
Q-measure																																			1.0	0.849431981534	1.0	0.80872153137	0.640395420315	0.803218487537	0.858880131422	0.770350701721	0.81698481705	0.413753413418	0.476298616485	0.554431058233	0.555067358999
Q@0003																																				1.0	0.849431981534	0.703869948727	0.673051103665	0.896581677636	0.75951445397	0.915228658419	0.855229787265	0.322146591598	0.377636629616	0.495503239096	0.496152525593
Q@0005																																					1.0	0.80872153137	0.640395420315	0.803218487537	0.858880131422	0.770350701721	0.81698481705	0.413753413418	0.476298616485	0.554431058233	0.555067358999
RBP																																						1.0	0.53563886014	0.750090721535	0.934965362026	0.662172649288	0.744433746887	0.446676143594	0.498658914003	0.617427656518	0.631397290618
RR																																							1.0	0.604486580501	0.588017140227	0.782806914807	0.797530260579	0.588017140227	0.588017140227	0.603358383278	0.603358383278
nDCG@0003																																								1.0	0.829989869613	0.828972066837	0.784588468575	0.333075335349	0.388268130796	0.525982839818	0.526632126315
nDCG@0005																																									1.0	0.711076404667	0.788561981039	0.453972930387	0.509560169068	0.597208139549	0.604511106982
nERR@0003																																										1.0	0.93573358252	0.261401673111	0.316891711129	0.506031963977	0.506681250474
nERR@0005																																											1.0	0.302162661501	0.351374531235	0.523476607083	0.524112907849
npbg_hcs_modi																																												1.0	0.913333333333	0.24	0.26
npbg_tbg_modi																																													1.0	0.3	0.306666666667
pbg_hcs_modi																																														1.0	0.926666666667
pbg_tbg_modi																																															1.0
