id,user_id,setting_id,task_id,score
639,2016011311,4,10,4
640,2016011311,4,5,4
641,2016011311,4,8,4
642,2016011311,4,4,3
643,2016011311,4,6,5
644,2016011311,4,1,5
645,2016011311,4,13,3
646,2016011311,4,15,5
647,2016011311,4,14,4
648,2016011311,4,18,4
649,2016011311,4,16,3
650,2016011311,4,7,4
651,2016011311,4,2,4
652,2016011311,4,11,4
653,2016011311,4,3,4
654,2016011311,4,12,4
655,2016011290,1,17,2
656,2016011290,1,14,5
657,2016011290,1,1,5
658,2016011290,1,11,5
659,2016011290,1,3,5
660,2016011290,1,7,5
661,2016011290,1,19,4
662,2016011290,1,16,4
663,2016011290,1,18,5
664,2016011290,1,13,5
665,2016011290,1,9,5
666,2016011290,1,6,5
667,2016011290,1,12,4
668,2016011290,1,5,5
669,2016011290,1,10,5
670,2016011290,1,8,5
671,2016011290,1,20,4
672,2016011290,1,2,5
673,2016011290,1,15,5
674,2016011290,1,4,5
675,2014080121,2,4,4
676,2014080121,2,19,3
677,2014080121,2,9,3
678,2014080121,2,10,5
679,2014080121,2,7,3
680,2014080121,2,8,3
681,2014080121,2,15,3
682,2014080121,2,12,4
683,2014080121,2,16,4
684,2014080121,2,2,4
685,2014080121,2,11,3
686,2014080121,2,18,3
687,2014080121,2,20,3
688,2014080121,2,14,3
689,2014080121,2,5,1
690,2014080121,2,17,2
691,2014080121,2,1,3
692,2014080121,2,3,4
693,2014080121,2,13,4
694,2014080121,2,6,1
695,2015010889,3,11,5
696,2015010889,3,17,4
697,2015010889,3,5,4
698,2015010889,3,9,3
699,2015010889,3,13,4
700,2015010889,3,4,5
701,2015010889,3,1,4
702,2015010889,3,10,5
703,2015010889,3,15,5
704,2015010889,3,3,5
705,2015010889,3,7,5
706,2015010889,3,2,4
707,2015010889,3,8,5
708,2015010889,3,12,4
709,2015010889,3,6,5
710,2015010889,3,19,4
711,2015010889,3,16,4
712,2015010889,3,18,4
713,2015010889,3,14,4
714,2015010889,3,20,5
715,2015010887,4,6,4
716,2015010887,4,13,5
717,2015010887,4,20,4
718,2015010887,4,17,1
719,2015010887,4,7,5
720,2015010887,4,18,5
721,2015010887,4,14,4
722,2015010887,4,9,5
723,2015010887,4,10,4
724,2015010887,4,12,3
725,2015010887,4,2,4
726,2015010887,4,3,5
727,2015010887,4,5,4
728,2015010887,4,8,5
729,2015010887,4,4,4
730,2015010887,4,15,5
731,2015010887,4,16,5
732,2015010887,4,1,5
733,2015010887,4,19,3
734,2015010887,4,11,3
735,2013010932,1,18,3
736,2013010932,1,5,3
737,2013010932,1,4,4
738,2013010932,1,12,5
739,2013010932,1,13,4
740,2013010932,1,16,2
741,2013010932,1,3,4
742,2013010932,1,17,2
743,2013010932,1,17,2
744,2013010932,1,7,4
745,2013010932,1,11,5
746,2013010932,1,2,5
747,2013010932,1,6,4
748,2013010932,1,9,3
749,2013010932,1,20,5
750,2013010932,1,8,5
751,2013010932,1,10,3
752,2013010932,1,15,5
753,2013010932,1,1,4
754,2013010932,1,14,4
755,2013010932,1,19,5
756,2016211001,2,12,4
757,2016210747,2,16,3
758,2016210747,2,1,4
759,2016210747,2,2,4
760,2016210747,2,6,4
761,2016210747,2,11,5
762,2016210747,2,9,2
763,2016210747,2,20,5
764,2016210747,2,13,4
765,2016210747,2,10,2
766,2016210747,2,8,5
767,2016210747,2,18,5
768,2016210747,2,5,5
769,2016210747,2,7,2
770,2016210747,2,12,3
771,2016210747,2,3,4
772,2016210747,2,17,2
773,2016210747,2,19,3
774,2016210747,2,4,4
775,2016210747,2,15,4
776,2016210747,2,14,4
777,2015210462,3,8,5
778,2015210462,3,1,5
779,2015210462,3,12,5
780,2015210462,3,17,5
781,2015210462,3,20,5
782,2015210462,3,14,5
783,2015210462,3,15,5
784,2015210462,3,16,5
785,2015210462,3,18,5
786,2015210462,3,2,5
787,2015210462,3,5,3
788,2015210462,3,10,5
789,2015210462,3,19,5
790,2015210462,3,7,3
791,2015210462,3,3,5
792,2015210462,3,11,5
793,2015210462,3,6,5
794,2015210462,3,13,5
795,2015210462,3,4,5
796,2015210462,3,9,5
797,2013012048,4,16,3
798,2013012048,4,15,4
799,2013012048,4,20,4
800,2013012048,4,11,4
801,2013012048,4,14,4
802,2013012048,4,7,4
803,2013012048,4,3,4
804,2013012048,4,10,4
805,2013012048,4,1,5
806,2013012048,4,8,5
807,2013012048,4,17,4
808,2013012048,4,19,4
809,2013012048,4,4,4
810,2013012048,4,12,4
811,2013012048,4,18,4
812,2013012048,4,5,4
813,2013012048,4,13,4
814,2013012048,4,6,5
815,2013012048,4,9,5
816,2013012048,4,2,5
817,2014010012,1,18,4
818,2014010012,1,6,5
819,2014010012,1,7,4
820,2014010012,1,1,5
821,2014010012,1,9,5
822,2014010012,1,17,3
823,2014010012,1,16,3
824,2014010012,1,12,3
825,2014010012,1,19,4
826,2014010012,1,8,5
827,2014010012,1,4,4
828,2014010012,1,20,2
829,2014010012,1,2,4
830,2014010012,1,5,4
831,2014010012,1,13,5
832,2014010012,1,11,5
833,2014010012,1,10,4
834,2014010012,1,14,5
835,2014010012,1,15,4
836,2014010012,1,3,4
837,2014210115,2,20,5
838,2014210115,2,3,4
839,2014210115,2,17,5
840,2014210115,2,7,4
841,2014210115,2,4,5
842,2014210115,2,19,5
843,2014210115,2,1,5
844,2014210115,2,11,5
845,2014210115,2,10,5
846,2014210115,2,2,4
847,2014210115,2,15,5
848,2014210115,2,6,1
849,2014210115,2,8,4
850,2014210115,2,5,5
851,2014210115,2,14,5
852,2014210115,2,12,5
853,2014210115,2,16,5
854,2014210115,2,9,5
855,2014210115,2,13,5
856,2014210115,2,18,5
857,2014011525,3,4,4
858,2014011525,3,10,4
859,2014011525,3,16,4
860,2014011525,3,3,5
861,2014011525,3,7,5
862,2014011525,3,13,5
863,2014011525,3,15,5
864,2014011525,3,8,5
865,2014011525,3,17,2
866,2014011525,3,9,4
867,2014011525,3,14,5
868,2014011525,3,6,4
869,2014011525,3,18,5
870,2014011525,3,20,4
871,2014011525,3,2,4
872,2014011525,3,1,5
873,2014011525,3,5,3
874,2014011525,3,19,4
875,2014011525,3,12,3
876,2014011525,3,11,5
877,2013012816,4,5,2
878,2013012816,4,11,4
879,2013012816,4,19,3
880,2013012816,4,8,3
881,2013012816,4,20,4
882,2013012816,4,14,4
883,2013012816,4,2,5
884,2013012816,4,12,3
885,2013012816,4,12,3
886,2013012816,4,12,3
887,2013012816,4,3,3
888,2013012816,4,1,4
889,2013012816,4,18,3
890,2013012816,4,16,3
891,2013012816,4,13,4
892,2013012816,4,7,4
893,2013012816,4,15,4
894,2013012816,4,6,5
895,2013012816,4,4,4
896,2013012816,4,9,4
897,2013012816,4,10,4
898,2013012816,4,17,4
899,2014012023,1,1,5
900,2014012023,1,15,5
901,2014012023,1,13,4
902,2014012023,1,3,5
903,2014012023,1,2,4
904,2014012023,1,18,3
905,2014012023,1,10,5
906,2014012023,1,17,3
907,2014012023,1,14,5
908,2014012023,1,11,5
909,2014012023,1,16,4
910,2014012023,1,9,3
911,2014012023,1,19,4
912,2014012023,1,6,5
913,2014012023,1,4,5
914,2014012023,1,12,5
915,2014012023,1,7,5
916,2014012023,1,20,5
917,2014012023,1,8,5
918,2014012023,1,5,4
919,2014010974,2,10,5
920,2014010974,2,15,5
921,2014010974,2,16,5
922,2014010974,2,3,4
923,2014010974,2,7,4
924,2014010974,2,2,4
925,2014010974,2,20,5
926,2014010974,2,4,4
927,2014010974,2,9,4
928,2014010974,2,5,4
929,2014010974,2,13,5
930,2014010974,2,12,4
931,2014010974,2,1,5
932,2014010974,2,8,5
933,2014010974,2,14,5
934,2014010974,2,17,4
935,2014010974,2,6,4
936,2014010974,2,11,4
937,2014010974,2,19,4
938,2014010974,2,18,5
939,2014011335,3,18,5
940,2014011335,3,11,4
941,2014011335,3,7,4
942,2014011335,3,15,2
943,2014011335,3,8,5
944,2014011335,3,9,4
945,2014011335,3,1,5
946,2014011335,3,5,4
947,2014011335,3,19,5
948,2014011335,3,14,5
949,2014011335,3,13,5
950,2014011335,3,16,4
951,2014011335,3,4,4
952,2014011335,3,6,5
953,2014011335,3,17,4
954,2014011335,3,2,5
955,2014011335,3,3,4
956,2014011335,3,20,5
957,2014011335,3,10,5
958,2014011335,3,12,4
959,2016211454,4,9,4
960,2016211454,4,6,4
961,2016211454,4,12,2
962,2016211454,4,2,3
963,2016211454,4,8,5
964,2016211454,4,4,5
965,2016211454,4,5,4
966,2016211454,4,1,5
967,2016211454,4,19,2
968,2016211454,4,7,5
969,2016211454,4,18,4
970,2016211454,4,14,4
971,2016211454,4,10,5
972,2016211454,4,17,2
973,2016211454,4,15,5
974,2016211454,4,13,5
975,2016211454,4,16,4
976,2016211454,4,3,4
977,2016211454,4,11,4
978,2016211454,4,20,5
979,2013012692,1,10,3
980,2013012692,1,14,4
981,2013012692,1,11,5
982,2013012692,1,20,2
983,2013012692,1,3,4
984,2013012692,1,19,5
985,2013012692,1,6,5
986,2013012692,1,13,5
987,2013012692,1,17,1
988,2013012692,1,9,4
989,2013012692,1,2,3
990,2013012692,1,12,1
991,2013012692,1,7,5
992,2013012692,1,5,4
993,2013012692,1,8,5
994,2013012692,1,1,4
995,2013012692,1,18,5
996,2013012692,1,4,4
997,2013012692,1,16,4
998,2013012692,1,15,4
999,2016310173,2,17,4
1000,2016310173,2,2,5
1001,2016310173,2,14,3
1002,2016310173,2,3,5
1003,2016310173,2,12,4
1004,2016310173,2,13,5
1005,2016310173,2,15,5
1006,2016310173,2,18,5
1007,2016310173,2,9,4
1008,2016310173,2,10,5
1009,2016310173,2,5,5
1010,2016310173,2,16,4
1011,2016310173,2,8,5
1012,2016310173,2,1,5
1013,2016310173,2,7,5
1014,2016310173,2,6,4
1015,2016310173,2,19,5
1016,2016310173,2,4,5
1017,2016310173,2,11,5
1018,2016310173,2,20,5
1019,2016211123,3,3,5
1020,2016211123,3,2,3
1021,2016211123,3,8,5
1022,2016211123,3,17,2
1023,2016211123,3,1,4
1024,2016211123,3,19,4
1025,2016211123,3,4,5
1026,2016211123,3,5,5
1027,2016211123,3,18,5
1028,2016211123,3,7,2
1029,2016211123,3,14,3
1030,2016211123,3,6,5
1031,2016211123,3,13,5
1032,2016211123,3,9,4
1033,2016211123,3,16,4
1034,2016211123,3,15,5
1035,2016211123,3,10,5
1036,2016211123,3,12,5
1037,2016211123,3,11,5
1038,2016211123,3,20,5
1039,2013012056,4,6,5
1040,2013012056,4,10,5
1041,2013012056,4,7,5
1042,2013012056,4,9,4
1043,2013012056,4,17,1
1044,2013012056,4,12,2
1045,2013012056,4,16,4
1046,2013012056,4,8,5
1047,2013012056,4,20,5
1048,2013012056,4,5,3
1049,2013012056,4,1,5
1050,2013012056,4,14,5
1051,2013012056,4,15,5
1052,2013012056,4,2,4
1053,2013012056,4,4,5
1054,2013012056,4,13,5
1055,2013012056,4,3,4
1056,2013012056,4,11,5
1057,2013012056,4,19,4
1058,2013012056,4,18,4
1059,2016211313,1,15,5
1060,2016211313,1,18,5
1061,2016211313,1,14,5
1062,2016211313,1,10,5
1063,2016211313,1,13,5
1064,2016211313,1,3,5
1065,2016211313,1,11,5
1066,2016211313,1,12,4
1067,2016211313,1,6,5
1068,2016211313,1,7,5
1069,2016211313,1,9,5
1070,2016211313,1,17,3
1071,2016211313,1,1,5
1072,2016211313,1,8,5
1073,2016211313,1,19,5
1074,2016211313,1,5,5
1075,2016211313,1,4,5
1076,2016211313,1,2,5
1077,2016211313,1,20,4
1078,2016211313,1,16,5
1079,2015311241,2,11,3
1080,2015311241,2,20,1
1081,2015311241,2,13,4
1082,2015311241,2,7,4
1083,2015311241,2,6,2
1084,2015311241,2,2,3
1085,2015311241,2,1,4
1086,2015311241,2,14,4
1087,2015311241,2,9,3
1088,2015311241,2,17,3
1089,2015311241,2,12,4
1090,2015311241,2,10,4
1091,2015311241,2,19,4
1092,2015311241,2,16,4
1093,2015311241,2,4,4
1094,2015311241,2,15,5
1095,2015311241,2,5,4
1096,2015311241,2,18,4
1097,2015311241,2,3,4
1098,2015311241,2,8,5
